Location,City,Lat,Long,
1ST ENCOUNTER BEACH,EASTHAM,41.5,70,
AGAWAM RIVER BRIDGE,WAREHAM,41.45,70.43,
AMERICAN BOAT SALES,DANVERS,42.32,70.55,
BACK RIVER BRIDGE,BOURNE,41.44,70.37,
BALSTON BEACH (CCNS),TRURO,42.02,70.03,
BASS RIVER AT HIGH BANK ROAD,DENNIS,41.4,70.06,
"BASS RIVER BEACH, RAMP, JETTY, PIER",S. YARMOUTH,41.39,70.12,
BASS ROCKS,GLOUCESTER,42.35,70.39,
BEACH ROAD BRIDGE JETTY,EDGARTOWN,41.25,70.33,
BEACH WEST OF W JETTY,NANTUCKET,41.18,70.06,
BEARSKIN NECK,ROCKPORT,42.4,70.37,
BELL RD (CCC5),BOURNE,41.44,70.37,
BEVERLY HARBOR MARINA,BEVERLY,42.33,70.53,
BLACK CREEK BRIDGE,QUINCY,42.15,70.59,
BLYMAN BRIDGE,GLOUCESTER,42.37,70.4,
BOUND BROOK ISLAND (CCNS),WELLFLEET,41.56,70.03,
BOURNE SCENIC PARK,BOURNE,41.45,70.35,
BOWL-O-MAT LANDING,BEVERLY,42.33,70.51,
BRANT POINT LIGHT HOUSE,NANTUCKET,40.17,70.06,
BREAKWATER,MARSHFIELD,42.06,70.39,
BRIDGE AT MEADOWNECK & OSTROM,EAST FALMOUTH,41.33,70.39,
BRIDGE OVER HERRING RIVER,WEST HARWICH,41.4,70.05,
BRIDGE OVER SWAN RIVER,DENNIS,41.39,70.09,
BRIGHTMAN ST BRIDGE,FALL RIVER,41.31,71.05,
BULKHEAD NEAR MDC PIER,LYNN,42.28,70.55,
CAHOON HOLLOW BEACH (CCNS),WELLFLEET,41.57,69.59,
CAMPGROUND BEACH,EASTHAM,41.53,70.01,
CANAL AT MASS MARITIME ACADEMY,BOURNE,41.44,70.38,
CAPE ANN MARINA & JULIAN'S MARINA,GLOUCESTER,42.35,70.4,
CAPT FISHING PARTIES,NEWBURYPORT,42.48,70.5,
